Student ID,Date,Class Time,Attendance Status,Stress Level (GSR),Sleep Hours,Anxiety Level,Mood Score,Risk Level,absent,absent_7sum,chronic_absence,absent_lag1,absent_lag2,sleep_hours,mean_sleep,sleep_diff,sleep_3mean,stress,stress_7mean,mood,anxiety,weekday,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6
1,2024-12-01,9:00-15:00,Late,0.92,7.6,6,6,Low,0,0.0,0,0,0,7.6,6.883333333333334,0.7166666666666659,7.6,0.92,0.92,6,6,6,0,0,0,0,0,1
1,2024-12-02,8:00-16:00,Late,1.17,6.0,6,2,Medium,0,0.0,0,0,0,6.0,6.883333333333334,-0.8833333333333337,6.8,1.17,1.045,2,6,0,0,0,0,0,0,0
1,2024-12-03,11:00-14:00,Late,4.56,6.3,4,8,High,0,0.0,0,0,0,6.3,6.883333333333334,-0.5833333333333339,6.633333333333333,4.56,2.2166666666666663,8,4,1,1,0,0,0,0,0
1,2024-12-04,11:00-16:00,Late,3.07,9.0,2,10,Low,0,0.0,0,0,0,9.0,6.883333333333334,2.1166666666666663,7.099999999999999,3.07,2.4299999999999997,10,2,2,0,1,0,0,0,0
1,2024-12-05,9:00-13:00,Absent,3.93,7.4,9,4,High,1,1.0,0,0,0,7.4,6.883333333333334,0.5166666666666666,7.566666666666666,3.93,2.7299999999999995,4,9,3,0,0,1,0,0,0
1,2024-12-06,8:00-14:00,Present,4.96,6.6,5,9,High,0,1.0,0,1,0,6.6,6.883333333333334,-0.2833333333333341,7.666666666666667,4.96,3.1016666666666666,9,5,4,0,0,0,1,0,0
1,2024-12-07,11:00-15:00,Absent,2.93,6.8,4,5,High,1,2.0,0,0,1,6.8,6.883333333333334,-0.08333333333333393,6.933333333333333,2.93,3.077142857142857,5,4,5,0,0,0,0,1,0
1,2024-12-08,8:00-15:00,Absent,2.17,8.4,9,9,High,1,3.0,1,1,0,8.4,6.883333333333334,1.5166666666666666,7.266666666666666,2.17,3.255714285714286,9,9,6,0,0,0,0,0,1
1,2024-12-09,11:00-13:00,Absent,4.4,5.9,4,4,High,1,4.0,1,1,1,5.9,6.883333333333334,-0.9833333333333334,7.033333333333334,4.4,3.717142857142857,4,4,0,0,0,0,0,0,0
1,2024-12-10,9:00-16:00,Late,1.44,7.7,3,7,Low,0,4.0,1,1,1,7.7,6.883333333333334,0.8166666666666664,7.333333333333333,1.44,3.271428571428572,7,3,1,1,0,0,0,0,0
1,2024-12-11,10:00-16:00,Present,3.79,6.2,5,4,High,0,4.0,1,0,1,6.2,6.883333333333334,-0.6833333333333336,6.6000000000000005,3.79,3.3742857142857146,4,5,2,0,1,0,0,0,0
1,2024-12-12,8:00-12:00,Absent,4.82,8.3,1,8,High,1,4.0,1,0,0,8.3,6.883333333333334,1.416666666666667,7.400000000000001,4.82,3.501428571428572,8,1,3,0,0,1,0,0,0
1,2024-12-13,8:00-12:00,Late,3.29,5.0,2,2,Medium,0,4.0,1,1,0,5.0,6.883333333333334,-1.8833333333333337,6.5,3.29,3.262857142857143,2,2,4,0,0,0,1,0,0
1,2024-12-14,11:00-12:00,Present,2.87,7.9,1,9,Low,0,3.0,1,0,1,7.9,6.883333333333334,1.0166666666666666,7.066666666666667,2.87,3.2542857142857144,9,1,5,0,0,0,0,1,0
1,2024-12-15,10:00-16:00,Absent,3.37,8.3,10,10,High,1,3.0,1,0,0,8.3,6.883333333333334,1.416666666666667,7.066666666666667,3.37,3.4257142857142857,10,10,6,0,0,0,0,0,1
1,2024-12-16,10:00-16:00,Present,4.48,6.5,2,9,High,0,2.0,0,1,0,6.5,6.883333333333334,-0.38333333333333375,7.566666666666667,4.48,3.4371428571428573,9,2,0,0,0,0,0,0,0
1,2024-12-17,9:00-14:00,Present,2.92,6.0,8,1,Medium,0,2.0,0,0,1,6.0,6.883333333333334,-0.8833333333333337,6.933333333333334,2.92,3.6485714285714286,1,8,1,1,0,0,0,0,0
1,2024-12-18,8:00-15:00,Present,3.2,5.8,1,3,Medium,0,2.0,0,0,0,5.8,6.883333333333334,-1.083333333333334,6.1000000000000005,3.2,3.5642857142857145,3,1,2,0,1,0,0,0,0
1,2024-12-19,11:00-13:00,Present,2.35,6.6,5,4,Low,0,1.0,0,0,0,6.6,6.883333333333334,-0.2833333333333341,6.133333333333333,2.35,3.2114285714285713,4,5,3,0,0,1,0,0,0
1,2024-12-20,10:00-13:00,Late,4.09,7.2,6,4,High,0,1.0,0,0,0,7.2,6.883333333333334,0.31666666666666643,6.533333333333334,4.09,3.325714285714286,4,6,4,0,0,0,1,0,0
1,2024-12-21,8:00-14:00,Absent,2.92,5.5,9,1,High,1,2.0,0,0,0,5.5,6.883333333333334,-1.3833333333333337,6.433333333333333,2.92,3.3328571428571427,1,9,5,0,0,0,0,1,0
1,2024-12-22,9:00-12:00,Late,3.29,7.8,3,9,Low,0,1.0,0,1,0,7.8,6.883333333333334,0.9166666666666661,6.833333333333333,3.29,3.3214285714285716,9,3,6,0,0,0,0,0,1
1,2024-12-23,9:00-14:00,Present,1.34,7.8,7,7,Low,0,1.0,0,0,1,7.8,6.883333333333334,0.9166666666666661,7.033333333333334,1.34,2.8728571428571428,7,7,0,0,0,0,0,0,0
1,2024-12-24,10:00-14:00,Late,0.51,6.4,4,6,Low,0,1.0,0,0,0,6.4,6.883333333333334,-0.4833333333333334,7.333333333333333,0.51,2.5285714285714285,6,4,1,1,0,0,0,0,0
1,2024-12-25,9:00-16:00,Late,2.45,6.6,6,7,Low,0,1.0,0,0,0,6.6,6.883333333333334,-0.2833333333333341,6.933333333333333,2.45,2.4214285714285713,7,6,2,0,1,0,0,0,0
1,2024-12-26,11:00-12:00,Present,2.9,7.2,10,10,Medium,0,1.0,0,0,0,7.2,6.883333333333334,0.31666666666666643,6.733333333333333,2.9,2.5,10,10,3,0,0,1,0,0,0
1,2024-12-27,11:00-12:00,Absent,1.89,7.0,10,6,High,1,2.0,0,0,0,7.0,6.883333333333334,0.11666666666666625,6.933333333333334,1.89,2.185714285714286,6,10,4,0,0,0,1,0,0
1,2024-12-28,8:00-13:00,Present,0.72,5.5,1,8,Low,0,1.0,0,1,0,5.5,6.883333333333334,-1.3833333333333337,6.566666666666666,0.72,1.8714285714285714,8,1,5,0,0,0,0,1,0
1,2024-12-29,11:00-12:00,Late,4.94,6.6,2,3,High,0,1.0,0,0,1,6.6,6.883333333333334,-0.2833333333333341,6.366666666666667,4.94,2.107142857142857,3,2,6,0,0,0,0,0,1
1,2024-12-30,10:00-16:00,Present,4.62,6.6,9,8,High,0,1.0,0,0,0,6.6,6.883333333333334,-0.2833333333333341,6.233333333333333,4.62,2.575714285714286,8,9,0,0,0,0,0,0,0
2,2024-12-01,10:00-12:00,Present,4.04,6.9,7,9,High,0,0.0,0,0,0,6.9,6.84,0.0600000000000005,6.9,4.04,4.04,9,7,6,0,0,0,0,0,1
